,Time_Start,Time_Stop,Time_Mid,RH,Dp,RI,GF,kappa
66,2024-06-10 12:09:31,2024-06-10 12:09:57,2024-06-10 12:09:44.000,84.806,200,1.5573,1.3268,0.23930583770275624
67,2024-06-10 12:10:33,2024-06-10 12:11:00,2024-06-10 12:10:46.500,85.3643,180,1.5317,1.1965,0.12223075247587435
68,2024-06-10 12:11:20,2024-06-10 12:11:45,2024-06-10 12:11:32.500,84.7637,200,1.546,1.2975,0.21288714562043462
69,2024-06-10 12:12:07,2024-06-10 12:12:32,2024-06-10 12:12:19.500,84.9826,250,1.5436,1.4094,0.31801772297457837
70,2024-06-10 12:12:54,2024-06-10 12:13:23,2024-06-10 12:13:08.500,85.1604,350,1.5561,1.471,0.3803997731822248
71,2024-06-10 12:13:23,2024-06-10 12:13:37,2024-06-10 12:13:30.000,85.1619,350,1.5526,1.5181,0.4353507301896245
72,2024-06-10 12:13:56,2024-06-10 12:14:26,2024-06-10 12:14:11.000,85.0675,200,1.5527,1.3675,0.27336422193696797
73,2024-06-10 12:14:26,2024-06-10 12:14:54,2024-06-10 12:14:40.000,85.1412,200,1.5569,1.4023,0.3067260964862279
74,2024-06-10 12:14:54,2024-06-10 12:15:15,2024-06-10 12:15:04.500,85.1049,200,1.5593,1.3748,0.27976588223853893
75,2024-06-10 12:30:55,2024-06-10 12:31:25,2024-06-10 12:31:10.000,82.7442,200,1.5484,1.1916,0.1443051833474197
76,2024-06-10 12:31:25,2024-06-10 12:31:55,2024-06-10 12:31:40.000,85.1156,200,1.5493,1.2585,0.1736906741696686
77,2024-06-10 12:31:55,2024-06-10 12:32:22,2024-06-10 12:32:08.500,85.3969,200,1.5511,1.2551,0.16709167820722126
78,2024-06-10 12:32:22,2024-06-10 12:32:52,2024-06-10 12:32:37.000,85.6378,200,1.5434,1.2719,0.17736704209712897
79,2024-06-10 12:32:52,2024-06-10 12:33:22,2024-06-10 12:33:07.000,85.6076,200,1.5432,1.2695,0.17584818338684813
80,2024-06-10 12:33:22,2024-06-10 12:33:49,2024-06-10 12:33:35.500,85.5695,200,1.5465,1.2618,0.17015193427515815
81,2024-06-10 12:33:49,2024-06-10 12:34:19,2024-06-10 12:34:04.000,85.9349,200,1.5452,1.2451,0.15225485110676476
82,2024-06-10 12:34:19,2024-06-10 12:34:46,2024-06-10 12:34:32.500,85.8485,200,1.5383,1.2499,0.15703845091482915
83,2024-06-10 12:35:11,2024-06-10 12:35:39,2024-06-10 12:35:25.000,85.6434,180,1.5239,1.1518,0.08851449435975495
84,2024-06-10 12:35:39,2024-06-10 12:35:49,2024-06-10 12:35:44.000,84.4867,180,1.5243,1.1443,0.0915102229989392
85,2024-06-10 12:36:08,2024-06-10 12:36:34,2024-06-10 12:36:21.000,85.3962,200,1.5457,1.2163,0.13670326229866178
86,2024-06-10 12:36:55,2024-06-10 12:37:23,2024-06-10 12:37:09.000,85.3059,250,1.5328,1.2504,0.16450063029705436
87,2024-06-10 12:37:42,2024-06-10 12:38:06,2024-06-10 12:37:54.000,85.0363,350,1.5229,1.2505,0.16813245361314774
88,2024-06-10 12:38:06,2024-06-10 12:38:20,2024-06-10 12:38:13.000,84.8375,350,1.5191,1.262,0.18049638884681585
89,2024-06-10 12:38:39,2024-06-10 12:38:59,2024-06-10 12:38:49.000,85.303,450,1.5144,1.3923,0.2927188930807088
90,2024-06-10 12:41:42,2024-06-10 12:42:10,2024-06-10 12:41:56.000,85.0773,180,1.5292,1.1321,0.07909850813221393
91,2024-06-10 12:42:29,2024-06-10 12:42:57,2024-06-10 12:42:43.000,84.6273,200,1.5411,1.215,0.14416128519478796
92,2024-06-10 12:43:16,2024-06-10 12:43:44,2024-06-10 12:43:30.000,85.0996,250,1.5402,1.2432,0.16133533582807713
93,2024-06-10 12:44:03,2024-06-10 12:44:33,2024-06-10 12:44:18.000,85.4578,350,1.522,1.2658,0.1749546220766632
94,2024-06-10 12:44:33,2024-06-10 12:44:41,2024-06-10 12:44:37.000,85.2375,350,1.5218,1.2888,0.19756140209994696
95,2024-06-10 12:45:05,2024-06-10 12:45:32,2024-06-10 12:45:18.500,85.0244,450,1.5112,1.428,0.33675826685858523
96,2024-06-10 12:47:17,2024-06-10 12:47:43,2024-06-10 12:47:30.000,84.9268,450,1.5155,1.2764,0.1915958791446908
97,2024-06-10 12:48:11,2024-06-10 12:48:37,2024-06-10 12:48:24.000,85.5206,350,1.5194,1.313,0.213933885384026
98,2024-06-10 12:48:37,2024-06-10 12:48:49,2024-06-10 12:48:43.000,84.7312,350,1.5264,1.2811,0.19868501271951536
99,2024-06-10 12:49:08,2024-06-10 12:49:34,2024-06-10 12:49:21.000,84.919,250,1.5408,1.2776,0.19275521328514672
100,2024-06-10 12:49:55,2024-06-10 12:50:23,2024-06-10 12:50:09.000,84.9346,200,1.5392,1.2045,0.13259121979925628
